id,code,name,category,brand,unit,region,market_price_fcfa,official_price_fcfa,price_date,price_type,official_status,source,source_url,catalog_status,verification_note
206,JP-00206,Chocolat chaud,"Café, thé & infusions",,400g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
207,JP-00207,Oignon local,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
208,JP-00208,Pomme de terre,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
209,JP-00209,Tomate ronde,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
210,JP-00210,Carotte,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
211,JP-00211,Concombre,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
212,JP-00212,Poivron,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
213,JP-00213,Aubergine locale,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
214,JP-00214,Aubergine violette,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
215,JP-00215,Haricot vert,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
216,JP-00216,Gombo,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
217,JP-00217,Patate douce,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
218,JP-00218,Manioc,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
219,JP-00219,Banane,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
220,JP-00220,Banane plantain,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
221,JP-00221,Orange,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
222,JP-00222,Mandarine,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
223,JP-00223,Citron,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
224,JP-00224,Papaye,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
225,JP-00225,Pastèque,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
226,JP-00226,Mangue,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
227,JP-00227,Ananas,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
228,JP-00228,Avocat,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
229,JP-00229,Pomme,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
230,JP-00230,Poire,Fruits & légumes,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
231,JP-00231,Bœuf avec os,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
232,JP-00232,Bœuf sans os,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
233,JP-00233,Bœuf haché,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
234,JP-00234,Mouton avec os,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
235,JP-00235,Mouton sans os,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
236,JP-00236,Chèvre,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
237,JP-00237,Poulet entier,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
238,JP-00238,Cuisses de poulet,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
239,JP-00239,Ailes de poulet,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
240,JP-00240,Poulet local,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
241,JP-00241,Abats de bœuf,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
242,JP-00242,Foie de bœuf,Viandes & volailles,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
243,JP-00243,Sardinelle fraîche,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
244,JP-00244,Sardinelle fumée,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
245,JP-00245,Sardinelle séchée,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
246,JP-00246,Capitaine frais,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
247,JP-00247,Capitaine séché salé,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
248,JP-00248,Thiof frais,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
249,JP-00249,Maquereau frais,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
250,JP-00250,Tilapia frais,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
251,JP-00251,Crevettes,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
252,JP-00252,Poisson séché,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
253,JP-00253,Guedj,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
254,JP-00254,Yet,Poissons & produits de la mer,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
255,JP-00255,Œufs de poule,Œufs & produits avicoles,Sans marque,unité,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
256,JP-00256,Œufs de poule,Œufs & produits avicoles,Sans marque,plateau_30,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
257,JP-00257,Œufs,Œufs & produits avicoles,Sans marque,boîte_6,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
258,JP-00258,Œufs,Œufs & produits avicoles,Sans marque,boîte_12,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
259,JP-00259,Arraw de mil,Aliments locaux transformés,Sans marque,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
260,JP-00260,Thiéré de mil,Aliments locaux transformés,Sans marque,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
261,JP-00261,Thiakry,Aliments locaux transformés,Sans marque,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
262,JP-00262,Fonio précuit,Aliments locaux transformés,Sans marque,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
263,JP-00263,Farine de niébé,Aliments locaux transformés,Sans marque,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
264,JP-00264,Haricot niébé,Aliments locaux transformés,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
265,JP-00265,Arachide décortiquée,Aliments locaux transformés,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
266,JP-00266,Arachide grillée,Aliments locaux transformés,Sans marque,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
267,JP-00267,Poudre de baobab,Aliments locaux transformés,Sans marque,250g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
268,JP-00268,Bouye,Aliments locaux transformés,Sans marque,250g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
269,JP-00269,Bissap séché,Aliments locaux transformés,Sans marque,250g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
270,JP-00270,Feuilles de bissap,Aliments locaux transformés,Sans marque,250g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
271,JP-00271,Mafé arachide,Aliments locaux transformés,Sans marque,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
272,JP-00272,Poudre de nététou,Aliments locaux transformés,Sans marque,250g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
273,JP-00273,Essence vanille,Produits pour pâtisserie,Foster Clark's,28ml,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
274,JP-00274,Essence banane,Produits pour pâtisserie,Foster Clark's,28ml,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
275,JP-00275,Essence fraise,Produits pour pâtisserie,Foster Clark's,28ml,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
276,JP-00276,Levure chimique,Produits pour pâtisserie,,100g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
277,JP-00277,Bicarbonate alimentaire,Produits pour pâtisserie,,100g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
278,JP-00278,Cacao en poudre,Produits pour pâtisserie,,200g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
279,JP-00279,Noix de coco râpée,Produits pour pâtisserie,,200g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
280,JP-00280,Colorant alimentaire,Produits pour pâtisserie,,10ml,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
281,JP-00281,Pépites de chocolat,Produits pour pâtisserie,,100g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
282,JP-00282,Gelée pâtissière,Produits pour pâtisserie,,250g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
283,JP-00283,Frites surgelées,Produits glacés & surgelés,,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
284,JP-00284,Petits pois surgelés,Produits glacés & surgelés,,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
285,JP-00285,Haricots verts surgelés,Produits glacés & surgelés,,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
286,JP-00286,Poisson surgelé,Produits glacés & surgelés,,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
287,JP-00287,Poulet surgelé,Produits glacés & surgelés,,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
288,JP-00288,Crevettes surgelées,Produits glacés & surgelés,,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
289,JP-00289,Pizza surgelée,Produits glacés & surgelés,,350g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
290,JP-00290,Glace vanille,Produits glacés & surgelés,,1L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
291,JP-00291,Glace chocolat,Produits glacés & surgelés,,1L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
292,JP-00292,Glace fraise,Produits glacés & surgelés,,1L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
293,JP-00293,Céréales infantiles,Produits infantiles & nutrition,,400g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
294,JP-00294,Lait infantile,Produits infantiles & nutrition,,400g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
295,JP-00295,Compote bébé,Produits infantiles & nutrition,,4x100g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
296,JP-00296,Purée bébé,Produits infantiles & nutrition,,2x200g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
297,JP-00297,Biscuit bébé,Produits infantiles & nutrition,,150g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
298,JP-00298,Riz brisé ordinaire,Céréales & féculents,Sans marque,125g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
299,JP-00299,Riz brisé ordinaire,Céréales & féculents,Sans marque,160g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
300,JP-00300,Riz brisé ordinaire,Céréales & féculents,Sans marque,200g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
301,JP-00301,Riz brisé ordinaire,Céréales & féculents,Sans marque,250g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
302,JP-00302,Riz brisé ordinaire,Céréales & féculents,Sans marque,400g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
303,JP-00303,Riz brisé ordinaire,Céréales & féculents,Sans marque,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
304,JP-00304,Riz brisé ordinaire,Céréales & féculents,Sans marque,650g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
305,JP-00305,Riz brisé ordinaire,Céréales & féculents,Sans marque,800g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
306,JP-00306,Riz brisé ordinaire,Céréales & féculents,Sans marque,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
307,JP-00307,Riz brisé ordinaire,Céréales & féculents,Sans marque,2kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
308,JP-00308,Riz brisé ordinaire,Céréales & féculents,Sans marque,5kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
309,JP-00309,Riz brisé ordinaire,Céréales & féculents,Sans marque,10kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
310,JP-00310,Riz brisé ordinaire,Céréales & féculents,Sans marque,25kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
311,JP-00311,Riz brisé ordinaire,Céréales & féculents,Sans marque,20L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
312,JP-00312,Riz brisé ordinaire,Céréales & féculents,Sans marque,250ml,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
313,JP-00313,Riz brisé ordinaire,Céréales & féculents,Sans marque,330ml,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
314,JP-00314,Riz brisé ordinaire,Céréales & féculents,Sans marque,500ml,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
315,JP-00315,Riz brisé ordinaire,Céréales & féculents,Sans marque,1L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
316,JP-00316,Riz brisé ordinaire,Céréales & féculents,Sans marque,"1,5L",Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
317,JP-00317,Riz brisé ordinaire,Céréales & féculents,Sans marque,5L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
